rank,output_id,output_type,title,primary_file,primary_file_exists,companion_note,companion_note_exists,generation_script,generation_script_exists,primary_source_data,thesis_contribution,clinical_safety_relevance,use_in_thesis,claim_boundary
1,Table 1,Table,"Clean, Attacked, and Defended Fall Safety-Proxy Metrics",results/thesis_table_1_safety_metrics.csv,yes,notes/thesis_table_1_safety_metrics.md,yes,scripts/create_thesis_table_1_safety_metrics.py,yes,results/defended_vs_undefended_safety_comparison.csv,"Establishes the core clean, attacked, and defended comparison for fall-vs-non-fall safety-proxy evaluation.","Reports TP, FN, FP, TN, recall/sensitivity, missed fall rate, precision, F1-score, balanced accuracy, and false fall alarm counts.",Use as the main quantitative result table for the first reproduced SenseFi UT-HAR LeNet attack-safety workflow.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
2,Figure 1,Figure,Defended vs Undefended Safety Tradeoff,figures/thesis_figure_1_safety_tradeoff.png,yes,notes/thesis_figure_1_safety_tradeoff.md,yes,scripts/create_thesis_figure_1_safety_tradeoff.py,yes,results/defended_vs_undefended_safety_comparison.csv,"Visualizes the main safety tradeoff between missed fall rate and false fall alarm count across clean, attacked, and defended conditions.","Shows whether defense reduces false alarms, missed falls, or both.",Use as the first high-level visual summary of the clean-to-attack-to-defense safety-proxy result.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
3,Table 2,Table,Attack Impact Delta Table,results/thesis_table_2_attack_impact_delta.csv,yes,notes/thesis_table_2_attack_impact_delta.md,yes,scripts/create_thesis_table_2_attack_impact_delta.py,yes,results/clean_safety_proxy_metrics.csv; results/fgsm_safety_proxy_metrics.csv; results/pgd_safety_proxy_metrics.csv,Quantifies how FGSM and PGD change safety-proxy metrics relative to the clean baseline.,"Translates adversarial degradation into changes in missed fall rate, recall/sensitivity, F1-score, false alarms, and prediction change rate.",Use to support the argument that aggregate accuracy alone is insufficient for healthcare-relevant WiFi sensing security evaluation.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
4,Figure 2,Figure,FGSM vs PGD Epsilon Sweep Curves,figures/thesis_figure_2_fgsm_pgd_epsilon_sweep.png,yes,notes/thesis_figure_2_fgsm_pgd_epsilon_sweep.md,yes,scripts/create_thesis_figure_2_fgsm_pgd_epsilon_sweep.py,yes,results/fgsm_epsilon_sweep_short.csv; results/pgd_epsilon_sweep_short.csv,Shows perturbation-strength dose-response behavior for FGSM and PGD.,"Shows how increasing epsilon changes missed fall rate, recall/sensitivity, F1-score, and false fall alarms.",Use to show that safety-proxy degradation can be analyzed across attack strength rather than only at one epsilon.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
5,Table 3,Table,Defense Tradeoff Table,results/thesis_table_3_defense_tradeoff.csv,yes,notes/thesis_table_3_defense_tradeoff.md,yes,scripts/create_thesis_table_3_defense_tradeoff.py,yes,results/defended_vs_undefended_safety_comparison.csv,Compares undefended and defended conditions to evaluate whether the first short FGSM adversarial-training defense improves or worsens safety-proxy outcomes.,"Separates false alarm reduction from missed fall recovery, showing that a defense may improve one safety-proxy outcome while worsening or failing to recover another.",Use as the main defense-evaluation table for the first defended baseline.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
6,Table 4,Table,Epsilon Sweep Summary Table,results/thesis_table_4_epsilon_sweep_summary.csv,yes,notes/thesis_table_4_epsilon_sweep_summary.md,yes,scripts/create_thesis_table_4_epsilon_sweep_summary.py,yes,results/fgsm_epsilon_sweep_short.csv; results/pgd_epsilon_sweep_short.csv,Condenses the FGSM and PGD epsilon sweeps into a compact table.,"Reports how missed fall rate, recall/sensitivity, F1-score, and false fall alarm burden change across perturbation strengths.",Use as the table counterpart to Figure 2 and as a bridge to later failure-threshold analysis.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
7,Figure 3,Figure,Defense Effect Summary,figures/thesis_figure_3_defense_effect_summary.png,yes,notes/thesis_figure_3_defense_effect_summary.md,yes,scripts/create_thesis_figure_3_defense_effect_summary.py,yes,results/defended_vs_undefended_safety_comparison.csv,Provides a compact visual summary of the defended-vs-undefended attack results.,Highlights that the first short defense reduced false fall alarms under attack but did not recover fall recall at epsilon 0.030.,Use as a concise visual defense-result figure in the robustness/defense chapter.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
8,Figure 4,Figure,Clean vs Defended Clean Tradeoff,figures/thesis_figure_4_clean_defense_tradeoff.png,yes,notes/thesis_figure_4_clean_defense_tradeoff.md,yes,scripts/create_thesis_figure_4_clean_defense_tradeoff.py,yes,results/defended_vs_undefended_safety_comparison.csv,Shows the clean-condition cost of the defended model compared with the undefended clean baseline.,Shows that a defense can reduce false alarms while increasing missed falls under clean conditions.,Use to discuss the clean-performance tradeoff that must be considered before interpreting a defense as beneficial.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
9,Figure 5,Figure,Binary Fall-vs-Non-Fall Confusion Matrices,figures/thesis_figure_5_confusion_matrices.png,yes,notes/thesis_figure_5_confusion_matrices.md,yes,scripts/create_thesis_figure_5_confusion_matrices.py,yes,results/defended_vs_undefended_safety_comparison.csv,"Shows binary confusion matrices for clean, FGSM, PGD, defended clean, defended FGSM, and defended PGD conditions.","Makes the safety-proxy error modes visible: detected falls, missed falls, false fall alarms, and correctly rejected non-falls.",Use to explain how adversarial attacks and defense change the confusion-matrix structure behind the summary metrics.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
10,Table 5,Table,Reproducibility Configuration Table,results/thesis_table_5_reproducibility_configuration.csv,yes,notes/thesis_table_5_reproducibility_configuration.md,yes,scripts/create_thesis_table_5_reproducibility_configuration.py,yes,"Experiment scripts, generated result files, and documented configuration values","Documents dataset, model, attack settings, defense settings, evaluated windows, label mapping, and claim boundaries.",Clarifies that current results are window-level safety-proxy metrics and not event-level clinical outcomes.,Use as the reproducibility and scope table for repeating the workflow with another dataset.,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
